,State,County,aqi,ghg,income,pop,plant,weather_epa,weather_meso
83,california,sandiego,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84,california,sanfrancisco,1.0,1.0,1.0,1.0,1.0,,1.0
85,california,sanjoaquin,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86,california,sanluisobispo,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,california,sanmateo,1.0,1.0,1.0,1.0,1.0,,1.0
88,california,santabarbara,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,california,santaclara,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,california,santacruz,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,california,shasta,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2281,california,sierra,,,1.0,1.0,1.0,,
92,california,siskiyou,1.0,,1.0,1.0,1.0,,1.0
93,california,solano,1.0,1.0,1.0,1.0,1.0,,1.0
94,california,sonoma,1.0,1.0,1.0,1.0,1.0,,1.0
95,california,stanislaus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,california,sutter,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,california,tehama,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98,california,trinity,1.0,,1.0,1.0,1.0,,1.0
99,california,tulare,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,california,tuolumne,1.0,,1.0,1.0,1.0,1.0,1.0
101,california,ventura,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,california,yolo,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1123,california,yuba,,1.0,1.0,1.0,1.0,,
103,colorado,adams,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,colorado,alamosa,1.0,,1.0,1.0,1.0,,1.0
105,colorado,arapahoe,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106,colorado,archuleta,1.0,,1.0,1.0,,,1.0
2282,colorado,baca,,,1.0,1.0,1.0,,
2283,colorado,bent,,,1.0,1.0,1.0,,
107,colorado,boulder,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2284,colorado,broomfield,,,1.0,1.0,,,
108,colorado,chaffee,1.0,,1.0,1.0,1.0,,1.0
1124,colorado,cheyenne,,1.0,1.0,1.0,,,
109,colorado,clearcreek,1.0,,1.0,1.0,1.0,,1.0
2285,colorado,conejos,,,1.0,1.0,,,
2286,colorado,costilla,,,1.0,1.0,,,
2287,colorado,crowley,,,1.0,1.0,,,
2288,colorado,custer,,,1.0,1.0,,,
110,colorado,delta,1.0,1.0,1.0,1.0,,,1.0
111,colorado,denver,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2289,colorado,dolores,,,1.0,1.0,,,
112,colorado,douglas,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1125,colorado,eagle,,1.0,1.0,1.0,1.0,,
2290,colorado,elbert,,,1.0,1.0,,,
113,colorado,elpaso,1.0,1.0,1.0,1.0,1.0,1.0,1.0
114,colorado,fremont,1.0,1.0,1.0,1.0,,,1.0
115,colorado,garfield,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2291,colorado,gilpin,,,1.0,1.0,,,
116,colorado,grand,1.0,,1.0,1.0,1.0,,1.0
117,colorado,gunnison,1.0,1.0,1.0,1.0,1.0,,1.0
2292,colorado,hinsdale,,,1.0,1.0,,,
2293,colorado,huerfano,,,1.0,1.0,1.0,,
118,colorado,jackson,1.0,,1.0,1.0,,,1.0
119,colorado,jefferson,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1126,colorado,kiowa,,1.0,1.0,1.0,,,
2294,colorado,kitcarson,,,1.0,1.0,1.0,,
2295,colorado,lake,,,1.0,1.0,1.0,,
120,colorado,laplata,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,colorado,larimer,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1127,colorado,lasanimas,,1.0,1.0,1.0,1.0,,
1128,colorado,lincoln,,1.0,1.0,1.0,1.0,,
1129,colorado,logan,,1.0,1.0,1.0,1.0,,
122,colorado,mesa,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2296,colorado,mineral,,,1.0,1.0,,,
123,colorado,moffat,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124,colorado,montezuma,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,colorado,montrose,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1130,colorado,morgan,,1.0,1.0,1.0,1.0,,
2297,colorado,otero,,,1.0,1.0,1.0,,
2298,colorado,ouray,,,1.0,1.0,1.0,,
126,colorado,park,1.0,,1.0,1.0,1.0,1.0,1.0
2299,colorado,phillips,,,1.0,1.0,,,
127,colorado,pitkin,1.0,,1.0,1.0,,,1.0
128,colorado,prowers,1.0,1.0,1.0,1.0,1.0,1.0,1.0
129,colorado,pueblo,1.0,1.0,1.0,1.0,1.0,,1.0
130,colorado,rioblanco,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2300,colorado,riogrande,,,1.0,1.0,,,
131,colorado,routt,1.0,1.0,1.0,1.0,1.0,,1.0
2301,colorado,saguache,,,1.0,1.0,1.0,,
132,colorado,sanjuan,1.0,,1.0,1.0,,,1.0
133,colorado,sanmiguel,1.0,1.0,1.0,1.0,1.0,,1.0
2302,colorado,sedgwick,,,1.0,1.0,1.0,,
1131,colorado,summit,,1.0,1.0,1.0,1.0,,
2303,colorado,teller,,,1.0,1.0,,,
2304,colorado,washington,,,1.0,1.0,,,
134,colorado,weld,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1132,colorado,yuma,,1.0,1.0,1.0,,,
135,connecticut,fairfield,1.0,1.0,1.0,1.0,1.0,1.0,1.0
136,connecticut,hartford,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137,connecticut,litchfield,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138,connecticut,middlesex,1.0,1.0,1.0,1.0,1.0,1.0,1.0
139,connecticut,newhaven,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,connecticut,newlondon,1.0,1.0,1.0,1.0,1.0,1.0,1.0
141,connecticut,tolland,1.0,1.0,1.0,1.0,1.0,1.0,1.0
142,connecticut,windham,1.0,1.0,1.0,1.0,1.0,,1.0
143,country of mexico,bajacalifornianorte,1.0,,,,,1.0,
144,delaware,kent,1.0,1.0,1.0,1.0,1.0,,1.0
145,delaware,newcastle,1.0,1.0,1.0,1.0,1.0,1.0,1.0
146,delaware,sussex,1.0,1.0,1.0,1.0,1.0,,1.0
147,district of columbia,districtofcolumbia,1.0,1.0,,1.0,1.0,1.0,
148,florida,alachua,1.0,1.0,1.0,1.0,1.0,,1.0
149,florida,baker,1.0,,1.0,1.0,,,1.0
150,florida,bay,1.0,1.0,1.0,1.0,1.0,,1.0
1133,florida,bradford,,1.0,1.0,1.0,,,
151,florida,brevard,1.0,1.0,1.0,1.0,1.0,,1.0
152,florida,broward,1.0,1.0,1.0,1.0,1.0,,1.0
2306,florida,calhoun,,,1.0,1.0,,,
1134,florida,charlotte,,1.0,1.0,1.0,1.0,,
153,florida,citrus,1.0,1.0,1.0,1.0,1.0,,1.0
2170,florida,clay,,1.0,1.0,1.0,,,
154,florida,collier,1.0,1.0,1.0,1.0,1.0,,1.0
155,florida,columbia,1.0,1.0,1.0,1.0,,,1.0
1135,florida,desoto,,1.0,1.0,1.0,1.0,,
2307,florida,dixie,,,1.0,1.0,,,
156,florida,duval,1.0,1.0,1.0,1.0,1.0,,1.0
157,florida,escambia,1.0,1.0,1.0,1.0,1.0,,1.0
158,florida,flagler,1.0,,1.0,1.0,,,1.0
2308,florida,franklin,,,1.0,1.0,,,
1136,florida,gadsden,,1.0,1.0,1.0,1.0,,
1137,florida,gilchrist,,1.0,1.0,1.0,,,
2309,florida,glades,,,1.0,1.0,,,
2310,florida,gulf,,,1.0,1.0,,,
159,florida,hamilton,1.0,1.0,1.0,1.0,1.0,,1.0
1138,florida,hardee,,1.0,1.0,1.0,1.0,,
1139,florida,hendry,,1.0,1.0,1.0,1.0,,
1140,florida,hernando,,1.0,1.0,1.0,1.0,,
160,florida,highlands,1.0,,1.0,1.0,1.0,,1.0
161,florida,hillsborough,1.0,1.0,1.0,1.0,1.0,1.0,1.0
162,florida,holmes,1.0,,1.0,1.0,,,1.0
163,florida,indianriver,1.0,1.0,1.0,1.0,1.0,,1.0
1141,florida,jackson,,1.0,1.0,1.0,1.0,,
2311,florida,jefferson,,,1.0,1.0,,,
2312,florida,lafayette,,,1.0,1.0,,,
164,florida,lake,1.0,1.0,1.0,1.0,1.0,,1.0
165,florida,lee,1.0,1.0,1.0,1.0,1.0,,1.0
